name,birthdate,era,country,date death,biography
Nikolla Zoraqi,,,Albanian,," (1928 – 1991; : ) was a composer from . His works included movie music and operas, notably  (English: ). Zoraqi was an ethnic  and had a wife called Gjenovefa Hebën, also an Aromanian, with whom he had children.

"
Armen Tigranian,"December 26, 1879",18th,Armenian,"February 10, 1950"," or  or  (: ;  26 December 1879,  –  10 February 1950, ) was an  composer, conductor and sociocultural activist. His best-known work is , premiered in Alexandropol in 1912. It is the first opera ever performed in Armenia.
Tigranian was born in Alexandropol in the  (present-day , ). Composer Vardan Tigranyan (1906–1974) and architect Edmond Tigranyan were his sons.
He became interested in music at a very early age. In 1894, he moved to Tiflis (now Tbilisi) with his family, enrolled in the local music school where he mastered the flute, studied the piano and took classes in music theory under Nikolay Klenovsky. During the same period he studied composition with . Tigranian returned to Alexandropol in 1902 and devoted himself to teaching and composing music. He organized an amateur mixed choir and gave his first performance in 20 October 1902. He toured Tiflis, , , and , disseminating Armenian music.
During this period he composed his first compositions, including  «Սև աչերեն» (Of the Black Eyes, text by , «Մնաք բարով» (Good Bye, text by ) and choral arrangements of folk material.
During the years 1908 and 1912 he composed his masterpiece «Անուշ» (Anoush), generally considered the ""national opera of the Armenian people"". Anoush, based on 's story of romance and tragedy, is a social drama distinguished by the originality of its national style, its folk characters, and its musical language. It captured the attention of audiences and became an enduring favorite of the opera repertoire. The opera was premiered by an amateur group in Alexandropol on 4 August 1912.
The next year, Tigranian moved once more back to Tiflis where he became an active member of the Armenian Music Society, he taught, and toured, performing his own compositions.
Following the establishment of the Soviet regime, Tigranian thoroughly reviewed and edited the opera Anoush in order to adhere to the principles of the new populist aesthetics. The new edition was performed for the first time in  on 27 March 1935, and then in Moscow during the ten-day Festival of Armenian Arts on 22 October 1939. For this occasion the score was re-orchestrated by . The American premiere of Anoush took place on 27 May 1923 at the Lexington Avenue Opera House in New York in a presentation marketed toward the Armenian immigrant audience. The official American premiere of  took place on 31 October 1981 at .
Tigranian's second opera «Դավիթ Բեկ» (David Bek) was inspired by the history of . It is based on a novel by Raffi (pen name for ) and was composed during 1941 and 1950. Its melodic contour is mostly derived from Armenian folk songs; its music is accessible. The instrumentation was realized by  and was staged in 1950 in Yerevan shortly after the composer's death. 
Among the other works by Tigranian are the drama ,  for symphonic orchestra, songs, choral works and piano pieces. A collection of his articles, letters, and memoire was published in 1981 in Yerevan. He has translated into Armenian the libretti of Verdi's  and Bizet's .
Tigranian died in Tbilisi and is buried in the Yerevan Central Cemetery, also known as Tokhmakh. There are schools named after him and  streets designated in Yerevan and in Gyumri.
"
Avet Terterian,"July 29, 1929",19th,Armenian,"December 11, 1994"," (also Terteryan) (: , July 29, 1929 – December 11, 1994) was an  composer, awarded the .
Terterian composed eight (completed) symphonies, several of which are recorded, an  and several .
Terterian was a friend and colleague of , , and .  praised Terterian as ""very talented"" and ""with great future"" in one of his letters, published by his friend Isaak Glikman, having heard a recording of Terterian's works at Armenia's ""House of Composers"" summer resort in , Armenia.
He studied at the Music Academy in  from 1948, and moved to the Romanos-Melikian Music Academy in 1951.He studied composition at the Komitas State Conservatory in Yerevan from 1952. He was Executive Secretary of the Armenian Composers’ Union from 1960 to 1963.  He was Chairman of the Music Department at the Armenian Cultural Ministry from 1970 and 1974. He joined Yerevan Conservatory as a professor in 1985. In 1989, he moved to the village of Ayrivank, located on the western shore of Lake Sevan,  region of Armenia.
's annual music festival is named after Terterian.
 work Styx, written for solo viola, chorus, and orchestra is a farewell to his friends Terterian and , whose names are sung by the choir during the work.
Terterian's son, Dr. Ruben Terterian, was a professor of music in , Ecuador, until his death in January 2020; and former prorector at the .
His most notable student is .
A. Terteryan Music was used in many films, giving them a special significance. To name just a few:
"
Alexander Spendiaryan,"November 1, 1871, , ",18th,Armenian,"May 7, 1928"," (: , : , November 1, 1871, ,  – May 7, 1928, ) was an Armenian and Soviet music composer, conductor, founder of Armenian national symphonic music.
Alexander Spendiarov was born on 1 November (as 20 October) 1871 in Kakhovka, province of Tavrik (modern Ukraine). His artistic abilities were formed in early childhood. He inherited his musical abilities from his mother who played piano. When Alexander Spendiarov was seven he wrote a . In 1890 he went to Moscow and studied for one year in the Natural Sciences faculty of , and then in 1894 he graduated from the Law faculty. At the same time he continued his violin classes. In 1896 Alexander Spendiarov went to  to show his compositions to , who greatly admired his music and encouraged him to turn deeper into his people's folklore. From 1896 to 1900 he took private composition lessons with Rimsky-Korsakov. According to , ""Rimsky-Korsakov was perfectly satisfied with the results of Alexander Spendiarov's work and considered him a serious, talented composer with a great flair for composition"".
Spendiarov was awarded the Glinka prize three times for his three works: the symphonic picture ""Three Palms"" in 1908, the legend ""Preacher Beda"" in 1910 and the melody declamation ""We’ll Have a Rest"" in 1912. His symphonic pieces, songs and romances, choral works, and musico-declamatory pieces earned him high marks among audiences and professional musicians. Spendiarov led concerts in , , , ,  and New Nakhijevan. He spent much of his time in  and . While he was living in Crimea, Spendiarov met ,  and .  was also a guest at his house.
In 1910 Spendiarov became a member of Yalta's Russian Musical Company.
The symphonic poem ""Three Palms"" occupies a special place among Spendiarov's symphonic compositions. With its poetic tone, picturesque nature, and bright coloring, it resembles the oriental program works of the . Spendiaryan toured abroad performing this piece in Berlin, Copenhagen, New York, and elsewhere.
Other works by Spendiarov include ""Concert Prelude"", ""Concert Waltz"", and ""Etude of Jewish Themes"", Cantabile and Prelude for string quartet, Baracarolle, Minuet, Scherzo, romances and vocal instrumental works. ""Oh Rose"" (Aye Vart) was a very famous classical piece in Russia and the former USSR. 
In 1916 Spendiarov performed in Tiflis, where he met poet  and decided to write an opera based on ""The Capture of Tmkabert"" poem. In 1916 the libretto of  opera was ready, and Spendiarov began work on the opera, and finished the opera's vocal score in 1923. He continued his work on the instrumentation right up to his death. The instrumentation of the fourth act of ""Almast"" was completed by composer .
On 10 December 1924 Spendiarov, newly arrived in  from , conducted an 18-member orchestra consisting of conservatory professors and students. This inaugural concert proved that  had the potential to sustain a symphony orchestra. The following year, on 20 March 1925, Professor , Rector of the , led the first concert of the then newly founded symphony orchestra. At the time, Spendiarov accurately predicted, ""There will come a time, when our yet modest student orchestra will proudly bear the honorary title of the Armenian State Orchestra.""
The ""Yerevan Sketches (Etudes)"" (1925) comprise some of the best work of Spendiarov's last years. The sketches are proceeded by numerous notations of folk themes, and experiments in their arrangement and harmonization. In the sketches, Spendiarov introduced the  and the  two Armenian musical instruments.
In 1926 the Soviet Armenian government awarded Spendiarov the title of People's Artist on the occasion of the 25th anniversary of his achievements in musical and public life.
Spendiarov died after a short illness in Yerevan in 1928. He is buried in the yard of Yerevan State Opera and ballet Theatre. A death mask of his face and right hand is exhibited in his House Museum. ""What he gave us is immortal"", said poet  about Spendiarov.
Composer  said of his predecessor, ""I am profoundly convinced that Spendiarov and  are the patriarchs of Armenian classical music; they have charted the principal trends in the evolution of Armenian musical art for many decades to come."" Spendiarov and  met for the first time in Moscow. Spendiarov appreciated the potential in the young composer.
Spendiarov had a brother, Leonid, and three sisters. When Leonid died, Spendiarov married the widow to prevent his brother's son from growing up fatherless. Her name was Varvara Mazirova; she was a relative to . They had 6 children - 4 daughters and 2 sons.
In 1967, the Alexander Spendiarov House Museum was established in the house where the composer lived during the last years of his life (the second floor apartment at 21 Nalbandyan Street, Yerevan). The Soviet Armenian government had given him a room in the communal apartment in 1926. Spendiarov used to enjoy the view of Mount Ararat from the small balcony. The museum has recreated the genuine atmosphere of the composer's study and presents the composer's personal belongings, numerous documents and other belongings. Spendiarov's portrait by  painted in 1967, a poster announcing the opera, `Almast,' as the first performance to open the Opera building in Yerevan (1933), two of his violins and a piano are displayed in the apartment.
"
Tigran Chukhajian,1837,18th,Armenian,"March 11, 1898"," (: , : ; 1837 – March 11, 1898) was an   and , and the founder of the first opera institution in the .
Chukhajian was born in . He studied at composer Gabriel Yeranian's class, then had classes in . Along with other  intellectuals of that period he fought for the development of national culture, organized Armenian musical societies, theatres, schools, papers and free concerts.  In 1862, he took over publication of the Armenian musical journal .In his works, Chukhajian used the elements of European musical techniques and eastern music elements He is an author of pieces for piano, songs and romances, chamber and symphonic works, operas. His most successful opera was Leblebici hor-hor agha (1875), it was premiered at the French Theatre in Constantinople, it was so successful that during the season it was performed more than hundred times and during the month Ramadan it was performed every single night (, 1890) etc. He died in Smyrna (now ). Chukhajian is buried in the Armenian cemetery of İzmir.
He created the first Armenian opera,  (1868, partially staged in 1873), based on the historical figure .Arshak II was banned because of its potential political ramifications. Nevertheless, Chukhajian changed some of the scenes and managed to convince Naum to allow the opera to be performed in his theatre by an Italian opera group known as Olimpia. The score was considered lost, but was discovered in 1942 and performed in 1945 in a revised version at the  opera theater in .  continued in the repertoire of the Yerevan Opera Theater. In 2001, it was staged at the .
Chukhajian is also remembered as the composer of what may have been the first original opera in Turkish,  (Arif's Deception), based on 's  .The opera caused a conflict between Chouhajian and Gullu Agop whether it was a vaudeville or opera. It was performed in the Gedikpaşa theatre.
"
Alexander Arutiunian,"23 September 1920, ",19th,Armenian,28 March 2012,"
 (: ), also known as , , ,  or  (23 September 1920 – 28 March 2012), was a  and   and , widely known for his 1950 . A professor at , he was recognized with many awards for his work, including the  in 1949 and  in 1970, as well as numerous honors from his homeland of Armenia.
Arutiunian was born in , , in the family of Grigor and Eleonora Arutiunian. His father was a military serviceman. In 1927, Arutiunian became a member of the 's children group, then, at age 14, he was admitted to the Conservatory to the studios of Olga Babasyan (piano), and Sergei Barkhudaryan and Vardges Talyan (composition). He graduated from the Music Conservatory of  on the eve of . After the war he moved to , where between 1946 and 1948 he participated in the workshops of House of Armenian Culture, studied composition with Genrikh Litinsky. After graduation he returned to Yerevan to teach at the local Conservatory and in 1954 he was appointed artistic director of the Armenian State Philharmony. He was also a member of the Board of the , as well as of the Armenian SSR Composers' Union.
In 1949, Arutiunian was awarded the  for his cantata , a graduation piece he wrote as a student at the . The USSR Radio Choir and Orchestra premiered this work in November 1948.
In 1949, Arutiunian composed the ""Festive Overture"" that was first performed in the Big Hall of the Leningrad Philharmonic in November 1949, with  conducting. During the Moscow Music Congress  considered him as a promising Soviet composer. He continued to win acclaim at home and abroad for his works, many of which are quickened by the  traditions of . Other works of that kind include  (1960),  (1967) and  (1970).
Some of Arutiunian's works for  include his 1950  for , the concerto for , and the   . In 1988, inspired by the , Arutiunian composed his Concerto for Violin and String Orchestra,  (dedicated to Ruben Aharonyan). The premiere took place in  in 1989.
Arutiunian's  consists of seven continuous sections, although the work is categorized as a single movement:
The melodic and rhythmic characteristics of Armenian folk music are a strong influence in Arutiunian's work. As a composer, he expressed his nationality by incorporating the flavor of  (folk minstrel) improvisations. At the time the concerto was written, his compositional style was similar to Khachaturian's. However, in the 1960s he tended towards classical forms and clearer tonality.
Arutiunian's trumpet concerto was his sixth major composition, written in 1950. Arutiunian originally intended to write it in 1943 for a student of Tabakov, Zsolak Vartasarian, who was the principal trumpet in the . However, Vartasarian died in the war and the concerto was not completed until 1950, so Aykaz Messlayan was the first performer of the concerto and  was the first to record this concerto.
The concerto's introduction to the United States is solely due to Dokschitzer, a leading Soviet Russian trumpeter.
In 1950, Arutiunian married Irina (Tamara) Odenova. Their marriage produced two children, a daughter, Narine (born 1951), who is a pianist and lawyer; and a son, Suren (born 1953), who is an artist-designer. His extended family includes three granddaughters and a grandson. He died aged 91 in his home city of Yerevan. Arutiunian is buried at the  which is located in the city center of Yerevan.
Important works include:
"
Avni Mula,4 January 1928,19th,Albanian,29 October 2020,"
 (, 4 January 1928 – , 29 October 2020) was an Albanian singer, , and . For his contribution to the arts, he received two of the highest awards from the Albanian government: the  decoration and the  () decoration.
Mula's family moved from ,  to , Albania, when he was young and after  he moved to , Albania. He studied at the  and graduated in 1957 as a lyric singer. He is the father of  Inva Mula.
Mula was part of the National Troupe of Songs and Dances () and the Troupe of the Army (). In addition, he won many prizes over his career as a composer and singer in the  (Albanian Festival of Song), which is held every year in Tirana. Mula was a .
Mula composed many songs over the span of his career. Some of the most famous are:
Mula also wrote an opera,  (Mother Albania) and two compositions for the films  (River of Light) and  (Carnivals).
In 1998, Mula, head of the jury of the , declared Albërie Hadërgjonaj's song ""Mirësia Dhe e Vërteta"" the winner, making Hadërgjonaj the first  singer to ever win the festival.
Mula received two of the highest awards from the Albanian government: the  decoration and the  () decoration.
"
Muslim Magomayev (composer),,,Azerbaijani,," (: ; 18 September 1885 in  – 28 July 1937 in ), commonly known as  (: ), was an   and . He is the grandfather and namesake of Azerbaijani opera singer .
He was born Abdulmuslim Magomayev into a family of a blacksmith on the same day another prominent Azerbaijani composer  was born. He had studied at a primary school in Grozny before being admitted to the  (in present-day ) in 1900. There Magomayev developed passion for music and conducting. That was also where he first met Uzeyir Hajibeyov, then his fellow student. However Magomayev found musical career financially unpromising and decided to focus on teaching. In 1905, he acquired his teaching certificate at the Tiflis Teachers' College and was appointed a teacher to the village of Bekovichi (now Kizlyar, ). In 1906, he was voluntarily reappointed to  (present-day ). In 1911, he received a license that allowed him to teach in  and moved to a  suburb, . While teaching at a school he took up music and conducting once again.
In 1916, Magomayev wrote his first opera entitled  based on the homonymous  folk epic. Unlike other early Azeri operas,  was less focused on the ethnic musical component and embodied European opera styles. Magomayev's most major work was . Written in 1935, this successful propaganda opera depicts Azerbaijani  in their fight against the short-lived . Overall, Magomayev was the author of 15 musical compositions, mostly . In 1927, together with Hajibeyov, he published ; a book where over 300 pieces of folk music had been documented in notes.  In 1935 Muslim Magomayev was selected Honoured Arts worker of Azerbaijan SSR.
In 1905, Magomayev married Baydigul Jamal Teregulova (whose younger sister Maleyka later married Uzeyir Hajibeyov making the two composers relatives) and fathered two sons.  In 1937, he died of  while visiting  (, ) and was buried in Baku. The  is named after Muslim Magomayev.
Muslim Magomayev’s mugham opera  was composed in 1915-1916 and consists of 6 acts and 7 scenes. Libretto and text were written by composer Mirza Gadir Ismailzade.
The premiere of the opera was held on March 7, 1919 in Baku, with a benefit performance of Huseyngulu Sarabski. Muslim Magomayev was conductor and Huseyn Arablinski was director of the opera. Actors were: H.Sarabski - Shah Ismail, M.H.Teregulov - Aslan Shah and Huseynagha Hajibababeyov – Gulzar.
 is the second opera by Muslim Magomayev, written in 1935.  is the author of a libretto to the opera. It is considered the most significant composition of Muslim Magomayev. Music of the opera consists of folk songs of Azerbaijan. In 1938, the opera was shown during the Decade of Azerbaijani Arts in Moscow, with the editorship of Reinhold Glière. It is also noted that, the opera narrates about a struggle of Azerbaijani peasants for the Soviet Power. “Nargiz” is the first Azerbaijani opera on a modern theme.
"
Jahangir Jahangirov,,,Azerbaijani,," (Azerbaijani: ; 20 July 1921 – 25 March 1992) was a Soviet and Azerbaijani ,  and choirmaster; he was named People's Artist of the Azerbaijan SSR in 1964.
Jahangir Jahangirov was born on 20 July 1921 in  township of . He graduated from musical school named after  and then from . From 1944 to 1960, he led the  of Broadcasting Committee of the Azerbaijan SSR. Majority of songs, composed by him for the first time were played by the chorus, which he led. After that he was the  of the Song and Dance Ensemble at . In 1950, Jahangir Jahangirov was awarded the , and in 1963, he received the status of People’s Artist of the Azerbaijan SSR.
Jahangir Jahangirov is the author of a lot of famous musical compositions.  (1949) - ,  (1956),  (1959),  (1973) ,  (1962),  (1984),  (1985) (dedicated to the 40th anniversary of the victory in ) ,  (1957),  (1978)  are among them. Besides that, the composer composed music for films , , and .
"
Zulfugar Hajibeyov,"April 17, 1884",18th,Azerbaijani,"September 30, 1950"," (: , 17 April 1884 – 30 September 1950) was an  composer and a member of a family noted for its musical talents. He was one of the founders of the Azerbaijan Music Comedy Theater.
Hajibeyov was born in  on 17 April 1884.
Hajibeyov's brother  is considered the ""Father of Classical Music"" in Azerbaijan. Their brother  was a publicist, journalist, and ethnographer, and helped Uzeyir compose the opera .
His son, , was also a composer, and directed the  for 40 years.
Hajibeyov died on 30 September 1950.  He is buried in the  in , .  Hajibeyov's house in Shusha is classified as a historical monument ""bearing state importance"" by Azerbaijan.
With his son Niyazi, Hajibeyov wrote the music for one of the first films of Azerbaijan, , released in 1936.
"
