name,composers,premiere_date,premiere_place,Language,year,librettist,summary
La voix humaine,Francis Poulenc,6 February 1959,"Opéra-Comique, Paris",French,1959,," (English: ) is a forty-minute, one-act  for  and orchestra composed by  in 1958. The work is based on the play  by , who, along with French soprano , worked closely with Poulenc in preparation for the opera's premiere. Poulenc's  was first performed at the  in Paris on 6 February 1959, with Duval as the solo singer and  conducting; the scenery, costumes and direction were by Cocteau.
The  consists of a woman's last phone conversation with her lover, who now loves someone else. During the call, the woman reveals that she has attempted suicide because her lover has abandoned her.
Cocteau finished writing  in 1928, and the  was premiered two years later. Having been previously criticized for using mechanical effects in his plays, Cocteau sought to reduce his drama to the ""simplest of forms"". Indeed, the one-act play involves a single character in a single room with a telephone. The character — an anonymous woman referred to only as ""Elle"" (""she"" in French) — has been abandoned by her lover and reveals that she has attempted to commit suicide. The play consists of her last conversation with her lover. As a one-act play, the drama lacks the breaks that would traditionally determine its structure. Instead, Cocteau suggests that the actress's different poses represent different ""phases"" of the monologue. The structure of the play is further delineated by the phone cutting off frequently without warning.
Upon the success of his second opera  in 1957, Poulenc was encouraged to compose more works in the genre. Hervé Dugardin, the Paris director of , suggested that Poulenc set Cocteau's monodrama to music, with  singing the role of Elle. Poulenc, however, wrote the opera specifically for Denise Duval, who had starred as Blanche de la Force in the  premiere of . Poulenc's close work with Duval helped his compositional process because he ""knew the details of the soprano's stormy love life, and this helped to cultivate a sense of specificity in the opera."" Poulenc also identified with Elle's situation, which allowed him to ""pour immense anguish into his opera… Like her he abused sleeping pills, tranquilizers and anti-depressants."" He thus immersed himself in a deeply personal project with which he easily connected.
Poulenc met Cocteau early in his career because of the latter's close relationship with , a group of six French composers of which Poulenc was a member. The two maintained a close friendship throughout their lives, but Poulenc did not set many of Cocteau's texts prior the composition of , about forty years after their first encounter. Poulenc himself explained that he waited so many years to set Cocteau's play because he felt that he needed a great deal of experience to perfectly construct such a work.
In composing , Poulenc strove to maintain the emotional effectiveness of Cocteau's original drama. He very carefully adapted Cocteau's text, omitting only those passages that he believed would reduce the emotional tension of the opera. In his article on Poulenc and Cocteau, Denis Waleckx proposes that there are five types of ""phases"" in Cocteau's play. These phases deal with chronology, psychological evolution, social interaction, telephone problems, and the ""remembrance of past happiness"". Poulenc left the chronology, telephone problem, and past happiness phases mostly intact, but cut down on or entirely omitted many of the psychological or social phases. This resulted in a protagonist who was ""quieter, more modest, less hysterical, less unbearable, and thereby probably more touching than Cocteau's."" Poulenc thereby focused on the relationship of the woman and her lover, while still retaining the key points and overall character of Cocteau's play.
Poulenc viewed the soprano singing the role of Elle as ""a co-composer"" of the part. Because Poulenc wrote the role specifically for Duval, the French soprano was his original ""co-composer"". Duval also helped Poulenc with his adaptation of Cocteau's text. Upon the opera's completion, Poulenc and Duval visited Cocteau, who was responsible for directing and designing costumes and stage décor for the premiere. Cocteau worked closely with Duval and adapted his directions for lighting and costuming to complement her physical attributes.
Poulenc finished his score for voice and piano on 2 June 1958 and spent the next two months orchestrating the work, completing the version for full orchestra on 7 August 1958. The  was premiered on 6 February 1959 at the Opéra-Comique, Paris, with Georges Prêtre conducting and Duval performing the role of Elle. The opera met immediate success and went on to be performed at  in Milan, as well as in Portugal, Britain, and the United States.
The curtain opens to reveal a bedroom where a woman (Elle) lies unmoving on the ground. Elle changes position once before finally rising. Although Elle makes to leave the room, the phone rings and Elle returns to answer it. Elle receives two wrong numbers before her ex-lover is able to get through to her. Elle lies to him, saying that she went out with her friend Marthe the previous night, and that she took one pill to help her fall asleep when she returned. The couple discusses their past relationship, and Elle blames herself for their problems, claiming, ""Tout est ma faute."" Throughout their conversation, they experience numerous telephone problems, and their connection finally cuts out completely. When Elle calls her lover's home phone, she discovers that he is not there and assumes that he is at a restaurant. He calls her back, and Elle reveals that she has lied during their conversation; instead of going out with Marthe the previous night, she took twelve sleeping pills in an attempted suicide. She then called Marthe, who arrived with a doctor to save her. Elle suddenly hears music in the background, and grows suspicious that her lover is at the home of his new girlfriend. Elle expresses her suspicions to him several times until the end of the opera, but he never admits to his true location. Elle also reveals her obsession with the telephone, explaining that she has slept with it in her bed for the past two nights. Their connection fails once again, and Elle panics. Her lover calls her back once more, and Elle informs him that she now has the telephone cord wrapped around her neck. Telling him she loves him over and over, she sinks into her bed and drops the receiver.
 is scored for full symphony orchestra with reduced dimensions, so that the sung text is easily understandable. The entire orchestra rarely plays at once; such moments occur only when the soprano does not sing, or when her voice lyrically rises above the orchestra. Poulenc writes coloristically, using different combinations of instruments to achieve certain effects. The instrumentation listed in Poulenc's score is as follows:
Poulenc did not sanction public performances of the opera in the version with piano accompaniment during his lifetime. In the 2010s, Rosine Seringe, Poulenc's niece, gave dispensation to  and  to record a performance for DVD of the piano accompaniment version, which appeared in 2013 as the first commercial recording of this version. Subsequently, recordings and live performances of the piano accompaniment version of the opera have increased in frequency.
Poulenc's writing for the voice is recitative-like in style, representing the natural inflections of speech and, in the case of this particular drama, imitating a phone conversation through its frequent pauses and silences. Poulenc rejects his previous lyricism, opting for a fragmentary, declamatory approach to the voice. Common characteristics of Poulenc's vocal lines include multiple repeated notes, few intervals greater than a fifth, much step-wise motion and motion by a third, and rhythm and accents designed to reflect actual speech patterns, especially ""the pauses and hesitations of a phone conversation."" Keith W. Daniel notes that out of the 780 measures of music in Poulenc's work, 186 are for solo voice without orchestral accompaniment, adding to the impression of a real telephone conversation. Many of the techniques described above are present in Example 1.
Poulenc strays from the recitative in highly dramatic passages, including when Elle sings of her suicide attempt of the previous night. This section is more lyrical and tonal, as can be seen in Example 2. Here, the vocal line more resembles an aria, especially as it builds toward its high point in the nine-eight measure, and the orchestra accompanies the voice in a waltz. The harmony, meanwhile, is a dominant prolongation in C (minor), and indeed, the orchestra resolves to C (major) in the following measure. Poulenc's vocal writing shows a strong dedication to maintaining the dramatic effect of Cocteau's text. The recitative-like passages clearly deliver the libretto, while the aria-like passages illustrate the soprano's passion and anguish.
Poulenc uses the orchestra to connect the soprano's fragmented vocal lines, unifying the piece as a whole. Unlike his treatment of the soprano voice, Poulenc gives the orchestra many lyrical , writing in the preface his score, ""L'œuvre entière doit baigner dans la plus grande sensualité orchestrale"" (""The entire work must bathe in the largest orchestral sensuality""). He unifies the opera through these motifs, of which Denis Waleckx identifies fourteen. These motifs relate to Elle's state of mind, such as those representing her ""exasperated waiting,"" and to situations out of her control, such as her ""happy memory."" The first of these motifs is shown in Example 3.
Daniel, however, suggests that only nine of Waleckx's examples are true motifs, while the remaining one- or two-bar phrases employ a cellular technique in which a short phrase is presented, then repeated once or twice. What Waleckx cites as the ""Endurance"" motif (see Example 4), Daniel uses to illustrate Poulenc's cellular technique. Despite their different interpretations, both authors agree that the primary function of the orchestra is to unify the opera into a cohesive work. As Daniel explains, ""If  succeeds as a drama, it is because of the vocal writing; but if it succeeds as a piece of music, as an opera, it is because of the orchestra.""
Other functions of the orchestra include the representation of Elle's agitation while trying to reach her lover and the jazz she hears on her lover's side of the phone conversation. Musicologist and professor Michal Grover-Friedlander also suggests that the orchestral music can symbolize the lover's side of the phone conversation. Perhaps the most important orchestral function other than unifying the overall work is the portrayal of the telephone ringing through repeated sixteenth notes on the xylophone, shown in Example 5. Although the pitch and the duration of the ringing changes throughout the opera, the timbre of the xylophone is only ever used to represent the ""voice"" of the telephone, making it easily identifiable. The phone cutting off and re-ringing divides the opera into natural sections and creates a comprehensible structure through which the audience understands the drama. The orchestra is therefore essential to unifying and organizing the opera.
 stands out from Poulenc's previous works because it is marked by a certain  ambiguity. Poulenc achieves this sensation through the avoidance of traditional harmonic functions and the preponderance of unresolved dissonances, diminished structures, and progressions of chromatically-related chords. Although some passages—most often those in which the voice becomes more lyrical—have a clear , the tonally ambiguous sections are much more frequent in Poulenc's score. Grover-Friedlander suggests that the music is motivically, rather than tonally, driven. Yet in these motives, she identifies a number of tonal references, including ""half steps or , , or , which raise expectations for tonal functioning and tonal . Poulenc's motivic, -like aesthetics does not undermine a sense of totality, but treats it as constantly deferred, or in motion."" Poulenc thereby uses tonal techniques in a more modern, tonally ambiguous harmonic language.



"
Die tödlichen Wünsche,Giselher Klebe,14 June 1959,"Deutsche Oper am Rhein, Düsseldorf",German,1959,Giselher Klebe," (),  27, is an   by  who also wrote the  based on  by . It consists of fifteen lyrical scenes in three acts. It premiered on 14 June 1959 at the  in , conducted by , and was published by . The opera was revived in 2006 at the  on the occasion of the composer's 80th birthday.
 focused on literary opera, writing his own  based on classical literature. His first opera, premiered in 1959 was , after  by . Klebe based  on 's . He structured it in fifteen  in three acts.
The opera premiered on 14 June 1959 at the  in Düsseldorf, conducted by . The leading roles were performed by Walter Beißner (tenor) as Raphael von Valentin, Ingrid Paller (soprano) as Pauline, and Kurt Gester (baritone) in five roles intended to be performed by one singer, , , ,  and . The performance was part of the  (week of music theatre of the 20th century), and was staged by Günter Roth. Klebe dedicated the opera to . It was published by .
The opera was revived in 2006 at the , where the composer then lived and taught at the  and was an . On the occasion of his 80th birthday, the  staged the work,  by Kristina Wuss and conducted by Erich Wächter. The premiere on 23 February 2006 was accompanied by an exposition of his autographs kept by the .
"
Six Characters in Search of an Author,,,,,1959,,
Puntila,,,,,1959,,
La notte di un nevrastenico,,,,,1959,,
I Shardana,,,,,1959,,
Prometheus,,,,,1959,,
Yūzuru,,,,,1952,,
The Stronger,,,,,1952,,
Trouble in Tahiti,Leonard Bernstein,12 June 1952,Brandeis University,English,1952,Leonard Bernstein," is a one-act  in seven scenes composed by  with an English  by the composer. It is the darkest among Bernstein's ""musicals"", and one of only two for which he wrote the words and the music. (He also wrote the lyrics for the 1950 production of .)  received its first performance on 12 June 1952 at Bernstein's Festival of the Creative Arts on the campus of  in , to an audience of nearly 3,000 people. The  subsequently presented the opera on television in November 1952, a production which marked mezzo-soprano 's professional debut in the role of Dinah. Wolff later reprised the role in the 's first staging of the work in 1958. The original work is about 40 minutes long.
Bernstein was working on the opera during his honeymoon with . The story is based on the relationship of Bernstein's own parents, Sam and Jennie, but the wife's name was changed to the more singable Dinah, Bernstein's grandmother. The work is dedicated to ; Blitzstein and Bernstein were good friends, both alumni of the  in Philadelphia. Bernstein had produced one production of Blitzstein's .
The opera is frequently performed with minimal scenery (although Bernstein gave detailed instructions for drops and props) and very simple costumes. There are only two soloists, a married couple named Sam and Dinah. Their son, Junior, is often referred to but is never seen or heard. Other characters are addressed in certain scenes but also are never seen or heard: Sam's client Mr Partridge (on the telephone); his friend Bill (present and interacting with Sam but intended to be invisible); his secretary Miss Brown (present but intended to be invisible); Dinah's  (""invisible""); her  (""imaginary"").
 is the story of one day in the life of these desperately unhappy, though married people, lonely, longing for love, and unable to communicate. At the end of the opera, Sam and Dinah show a willingness to sacrifice for each other, out of commitment to the marriage, though there's not much pleasure to be had. A copyright is held for an alternate ending by Bernstein, which has not been released.


Prelude – A smiling jazz trio sings of perfect life in an affluent, unnamed suburban town, with its little white houses and happy, loving families (""Mornin' Sun""). The town could be anywhere; many names (such as  and ) are mentioned.
Scene I – Real life in suburbia contrasts greatly with what the Trio has painted. Sam and Dinah are having breakfast, alternating between habitual bickering and lyrical moments of longing for kindness. Dinah is angry with Sam. She accuses him of having an affair with his secretary, which he denies. She also reminds Sam that their son Junior's play is that afternoon, but Sam insists that his handball tournament at the gym is more important, to which she retorts, ""To hell with the gym"". She needs more money to pay for her analyst, who Sam calls an ""out-and-out fake"". Dinah says Sam should go too, which suggestion Sam pays no attention to. They agree that this is not the way to live, and they will have a conversation about their relationship problems in the evening. They both ask each other for kindness, ask the other for help ""to love you again"" and pray that the wall built up between them can be broken down. They continue to argue until Sam leaves for the office, late for his train.
Scene II – Sam, at work, exuding confidence, is dealing with business on the telephone. On the phone, he turns down entreaties from Mr. Partridge, presumably for a loan. The chorus calls him a genius and a ""marvelous man"".
Then comes a call from ""Bill"", who he is glad to lend money to: ""You'll return it whenever you want to... Is it sufficient?"" Coincidentally, Bill is also participating in the handball tournament with Sam. The chorus observes that ""When it comes to the giving, no one touches big-hearted Sam"".
Scene III – In her analyst's office, Dinah recalls a dream about finding an imaginary garden amid a ""black and bare"" landscape, and sings about the image longingly.
Meanwhile, at Sam's office, he asks his secretary if he ever made a pass at her. When reminded of an incident, he insists, in a menacing way, that it was an accident and that she should forget that it ever happened.
Scene IV – Sam and Dinah accidentally run into each other on the street. Rather than having lunch with each other, they both make up lies about imaginary commitments to lunch with others. They continue to sing on the stage (though not to each other), reflecting on the confusing and painful course their relationship has taken, and yearn for their lost happiness.
Interlude – Inside the house, the Trio sings of lovely life in Suburbia, detailing the possessions that contribute to the .
Scene V – At the gym, Sam has just won the handball tournament. He sings triumphantly that ""There's a law about men"" — how some try with all their might to rise to the top, but will never win; while others, like him, are born winners and will always succeed. ""Men are created unequal.""
Scene VI – In a hat shop, Dinah tells an unidentified person about a South Sea romance movie called ""Trouble in Tahiti"", which she has just spent the afternoon watching. (Later, we learn that she has missed Junior's play.) At first she dismisses the movie as Technicolor drivel. But as she recounts the story and its theme song ""Island Magic"", backed by the Trio, she gets caught up in the escapist fantasy of love. Suddenly self-conscious, she stops herself, as she has to prepare dinner for Sam.
Scene VII – About to enter his home, Sam sings of another law of men — that even the winner must pay ""through the nose"" for what he gets.
The Trio sings of imaginary evenings of domestic bliss in Suburbia: ""bringing the loved ones together, safe by the warmth of the firelight"". After dinner, Dinah is knitting and Sam is reading the paper. Sam decides the time has come for their talk, and Dinah, after asking what he wants to talk about, agrees: ""anything you say"". Yet Sam can't talk; he doesn't know where to begin. He blames Dinah for interruptions, but she has not said anything. ""It's no use"", he says. In the only  in the opera, Sam asks Dinah about Junior's play, and she admits she didn't go either. He suggests they go to the movies, to see a new film about Tahiti; Dinah consents. (""Sure, why not? Anything."") As they leave, they each long for quiet and communion, wondering if it's possible to rediscover their love for one another. For now, they opt for the ""bought-and-paid-for magic"" of the silver screen. The Trio makes its final ironic comment, reprising the movie's ""Island Magic"" theme song.
With the permission of the Leonard Bernstein Office Inc. (the  of the composer),  adapted the operatic music into an . In March 2012, the  performed the New York premier of the adaptation at .
With the permission of the Leonard Bernstein Office Inc.,  gave a semi-staged performance of the opera with a chamber choir substituting the Trio as scored. On 17 June 2018, the chorus performed the adaptation with Garth Edwin Sunderland's reduced orchestration in their Leonard Bernstein centennial celebration concert ""Bernstein in the Theater"" at Hong Kong City Hall Concert Hall.
Bernstein wrote a continuation,  (1983, libretto by Stephen Wadsworth), which was poorly received. It was rewritten incorporating  in the form of an extended flashback. The opera, set 30 years later, depicts the aftermath of Dinah's death in a car crash and Sam's struggle to reconcile with his adult children.
In 1970 the  produced a television version of the opera. It was first broadcast in Sydney on  on 19 March 1972. It starred Raymond Duparc as Sam and Marie Tysoe as Dinah.
A version with live singers performing on animated sets was broadcast on  in the United States in 1973, later available on  and . Nancy Williams and Julian Patrick played the couple, with Antonia Butler, Michael Clarke and Mark Brown as the trio. Leonard Bernstein conducted.
In 2001, the BBC released a film version directed by Tom Cairns with  as Dinah and Karl Daymond as Sam.
In 2018,  created a film version, based on the company's stage production, produced by The Space and directed by Matthew Eberhardt, starring  and . The film was broadcast on Sky Arts in October 2018 and again in October 2020.

"
